xmi_id,cls_name
5,"FLASH MEMORY ARRAYPAGE 5121528 BYTES"
6,"RASH MEMORY ARRAYPAGE 5121528 BYTES"
14,ParamSet
14,"GraphNode 1"
14,Element
14,Circuit
14,Model
14,Xsubckt
14,Terminal
14,SubCircuit
14,OutRequest
14,InternalTerminal
14,ParamError
14,CircuitError
29,ClassifyWorker
29,key—>inheritance—*awareness
29,EMPTY
29,EMPTY
29,LoadWorker
29,EMPTY
29,SaveWorker
29,DrawWorker
29,"TwoDeeOvervi ew"
29,Profile
29,Worker
29,"Sel ec tionBox"
29,BoxOverlay
29,LagDisplay
31,EMPTY
31,Event
32,EMPTY
32,Category
32,Thread
32,Post
33,EMPTY
33,"name Stringicon Stringdescription Stringun String"
34,EMPTY
34,Guide
35,EMPTY
35,Message
37,TosfComponnt
37,TostCase
37,TestSuito
38,EMPTY
38,FunctionHandleTestCase
39,"I TestRunMonitor I"
39,TestRunLogger
39,CommandWindowTestRunDisplay
48,"Deac onObservable"
48,"interfaceDeac o nO bs erver"
48,onPushDeaconResponseonErrorDeaconErroronReconnect
48,Runnable
48,DeaconService
48,DeaconRunnable
48,"data cIassSubscription"
48,Deacon
48,"UserAp p"
48,Message
50,botprint
50,Canvas2D
50,Preview3D
50,ellipseHandler
50,circieHandler
50,rectangIeHan’d1
50,"freeshapeHan die r"
50,editHandler
50,resizer
50,rotator
50,remover
50,"abstractDrawHandler I"
50,EMPTY
55,joueur
55,"Station de recherche"
55,Cite
55,"Carte Infection"
55,Role
55,Equipe
55,"Carte joueur"
55,Pandémie
55,"Pile de carte"
55,"Carte Epidemie"
55,"Carte Spéciale"
55,Maladie
55,"Liste de cartes défausses"
55,EMPTY
55,EMPTY
56,DataCache
56,"I Model"
56,EMPTY
56,DataConverterService
56,interfacelExtendedVersionHandler
56,SolverService
56,EMPTY
56,"OutputSou rceCodeService"
56,UserSelectablePolynomial
56,UserDefinedFunction
56,Spline
56,EMPTY
56,EMPTY
56,EMPTY
56,"UserSelectablePolyration al"
70,"Tetherball LLC"
70,Links
70,EMPTY
70,SMS
70,"7Digit Numeric String"
70,EMPTY
70,"ReceiverWants to Opt4nhas no app"
70,TetherballcEic
75,DProperty
75,KnownProperty
75,UnknownProperty
75,CirPropertyBase
75,PhpField
75,PhpPropertypositionoverridesimplements
75,CirProperty
75,CirField
75,CirEvent
75,PhpFieldBuilder
75,PhpPropertyBuilder
96,"WebAppi i cciti. on"
96,MyWebApplication
96,"Appli cationContextAware"
115,FormComponentl
115,"e TextFieLdl"
115,"0 Button 1"
115,"e TextArea 1"
115,"DropDownChoice 1"
116,Root
116,EMPTY
116,EMPTY
116,EMPTY
116,EMPTY
116,EMPTY
116,EMPTY
116,EMPTY
119,EMPTY
119,EMPTY
119,"• _ded deck• flayer_hand blackjack_han&• _dealer_hand blackjack_hand"
119,"• _deck 1 deck jIayer_hand  beggar_flan&• _deaer_hand beg9ar_hand• _acive_hand  beqgar_hand _discard_hand d&ard_hand* penaky_cards nt"
119,EMPTY
119,"S _cards stdvecor<card’>S score mt"
119,"deck I"
119,"discard hand"
119,card
119,.ccenum>>suit
119,<<enurn>rank
